BEGIN;
BEGIN
select
	nation,
	o_year,
	sum(amount) as sum_profit
from
	(
		select
			n_name as nation,
			extract(year from o_orderdate) as o_year,
			l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount
		from
			part,
			supplier,
			lineitem,
			partsupp,
			orders,
			nation
		where
			s_suppkey = l_suppkey
			and ps_suppkey = l_suppkey
			and ps_partkey = l_partkey
			and p_partkey = l_partkey
			and o_orderkey = l_orderkey
			and s_nationkey = n_nationkey
			and p_name like '%navy%'
	) as profit
group by
	nation,
	o_year
order by
	nation,
	o_year desc;
          nation           | o_year |    sum_profit    
 ETHIOPIA                  |   1996 | 4755541864.52395
 ETHIOPIA                  |   1995 | 4748311669.83882
 ETHIOPIA                  |   1994 | 4741465090.00206
 ETHIOPIA                  |   1993 | 4734262553.99384
 ETHIOPIA                  |   1992 | 4744881085.79557
 FRANCE                    |   1998 | 2734395486.39563
 FRANCE                    |   1997 | 4682864917.67221
 FRANCE                    |   1996 | 4713555982.13679
 FRANCE                    |   1995 | 4671168339.83258
 FRANCE                    |   1994 | 4700838662.35154
 FRANCE                    |   1993 | 4674807373.92617
 FRANCE                    |   1992 | 4716285568.87146
 GERMANY                   |   1998 | 2730174943.18789
 GERMANY                   |   1997 | 4677368436.38071
 GERMANY                   |   1996 | 4692672989.82994
 GERMANY                   |   1995 | 4689818310.38394
 GERMANY                   |   1994 | 4672331264.27512
 GERMANY                   |   1993 | 4692457815.05138
 GERMANY                   |   1992 | 4668240079.02385
 INDIA                     |   1998 | 2737255736.74426
 INDIA                     |   1997 | 4655371053.10806
 INDIA                     |   1996 |  4678048298.7104
 INDIA                     |   1995 | 4662722170.05825
 INDIA                     |   1994 | 4640293557.30209
 INDIA                     |   1993 | 4677297800.12654
 INDIA                     |   1992 | 4669766465.72109
 INDONESIA                 |   1998 | 2721511432.62195
 INDONESIA                 |   1997 | 4622577173.23577
 INDONESIA                 |   1996 | 4602538911.66569
 INDONESIA                 |   1995 | 4626503892.50832
 INDONESIA                 |   1994 | 4614482983.95339
 INDONESIA                 |   1993 | 4638033128.37729
 INDONESIA                 |   1992 | 4615915490.69834
 IRAN                      |   1998 | 2729717858.87513
 IRAN                      |   1997 | 4652314837.95397
 IRAN                      |   1996 | 4680341993.34479
 IRAN                      |   1995 | 4676257276.25073
 IRAN                      |   1994 | 4661005751.58419
 IRAN                      |   1993 | 4689453417.35641
 IRAN                      |   1992 | 4683780027.01363
 IRAQ                      |   1998 | 2740617027.58039
 IRAQ                      |   1997 |  4644340346.6697
 IRAQ                      |   1996 | 4634935175.66138
 IRAQ                      |   1995 | 4632697926.45949
 IRAQ                      |   1994 | 4648184326.88105
 IRAQ                      |   1993 | 4629475718.05015
 IRAQ                      |   1992 | 4642892583.38921
 JAPAN                     |   1998 | 2730424076.85811
 JAPAN                     |   1997 | 4641429775.41226
 JAPAN                     |   1996 | 4646325425.55998
 JAPAN                     |   1995 | 4624527682.34357
 JAPAN                     |   1994 |  4640288652.3786
 JAPAN                     |   1993 | 4661569175.54684
 JAPAN                     |   1992 | 4635913035.44242
 JORDAN                    |   1998 | 2715795256.23589
 JORDAN                    |   1997 | 4636604328.36462
 JORDAN                    |   1996 | 4653967268.32628
 JORDAN                    |   1995 | 4633859234.50435
 JORDAN                    |   1994 | 4645658737.25446
 JORDAN                    |   1993 | 4641543954.91056
 JORDAN                    |   1992 |  4663376239.6345
 KENYA                     |   1998 | 2721072585.08499
 KENYA                     |   1997 | 4610041921.48749
 KENYA                     |   1996 | 4648246665.26757
 KENYA                     |   1995 | 4628848454.61824
 KENYA                     |   1994 | 4609904792.38841
 KENYA                     |   1993 | 4628422570.91257
 KENYA                     |   1992 | 4640720808.60218
 MOROCCO                   |   1998 | 2761468921.67754
 MOROCCO                   |   1997 | 4731653125.61953
 MOROCCO                   |   1996 | 4722349220.69736
 MOROCCO                   |   1995 | 4710298444.15107
 MOROCCO                   |   1994 | 4723874458.01647
 MOROCCO                   |   1993 | 4699998895.15019
 MOROCCO                   |   1992 | 4708934999.90938
 MOZAMBIQUE                |   1998 | 2759309654.94255
 MOZAMBIQUE                |   1997 | 4696280492.68798
 MOZAMBIQUE                |   1996 | 4712534089.16599
 MOZAMBIQUE                |   1995 | 4709443155.77964
 MOZAMBIQUE                |   1994 | 4716596917.57068
 MOZAMBIQUE                |   1993 | 4708808074.02072
 MOZAMBIQUE                |   1992 | 4700809459.67556
 PERU                      |   1998 | 2715708745.65415
 PERU                      |   1997 |  4637003711.2712
 PERU                      |   1996 |  4652334969.5879
 PERU                      |   1995 | 4654384038.11987
 PERU                      |   1994 | 4641857221.44437
 PERU                      |   1993 | 4632747401.98158
 PERU                      |   1992 | 4662512851.30725
 ROMANIA                   |   1998 | 2725073121.60411
 ROMANIA                   |   1997 | 4696647345.33917
 ROMANIA                   |   1996 | 4672453977.59838
 ROMANIA                   |   1995 | 4687028122.06896
 ROMANIA                   |   1994 | 4678113456.42197
 ROMANIA                   |   1993 | 4691941791.56871
 ROMANIA                   |   1992 | 4697430301.75552
 RUSSIA                    |   1998 | 2735135737.68361
 RUSSIA                    |   1997 |  4677085164.9966
 RUSSIA                    |   1996 |  4678140510.0607
 RUSSIA                    |   1995 | 4682265160.32706
 RUSSIA                    |   1994 | 4661672603.93239
 RUSSIA                    |   1993 | 4671865779.08721
 RUSSIA                    |   1992 | 4684813523.25546
 SAUDI ARABIA              |   1998 | 2723241151.96672
 SAUDI ARABIA              |   1997 |  4667967954.7715
 SAUDI ARABIA              |   1996 | 4690396556.52123
 SAUDI ARABIA              |   1995 | 4655301375.01989
 SAUDI ARABIA              |   1994 | 4669559809.88451
 SAUDI ARABIA              |   1993 | 4656486060.22828
 SAUDI ARABIA              |   1992 | 4673256519.22326
 UNITED KINGDOM            |   1998 | 2762053635.66563
 UNITED KINGDOM            |   1997 | 4693533669.76005
 UNITED KINGDOM            |   1996 | 4712692197.94113
 UNITED KINGDOM            |   1995 | 4683696071.66276
 UNITED KINGDOM            |   1994 | 4705313788.99478
 UNITED KINGDOM            |   1993 | 4713155734.29663
 UNITED KINGDOM            |   1992 | 4715471495.76596
 UNITED STATES             |   1998 | 2735470150.48135
 UNITED STATES             |   1997 | 4676460751.49688
 UNITED STATES             |   1996 | 4676249178.45879
 UNITED STATES             |   1995 |  4676332368.5953
 UNITED STATES             |   1994 | 4688132764.20082
 UNITED STATES             |   1993 | 4664758059.66045
 UNITED STATES             |   1992 | 4674137836.45915
 VIETNAM                   |   1998 | 2750171660.85857
 VIETNAM                   |   1997 | 4677068440.72694
 VIETNAM                   |   1996 | 4689281558.89253
 VIETNAM                   |   1995 | 4686537111.95885
 VIETNAM                   |   1994 | 4703055392.51663
 VIETNAM                   |   1993 | 4681410142.32359
 VIETNAM                   |   1992 | 4694294398.85806
(175 rows)

COMMIT;
COMMIT
